inst_id,name,eval_year,eval_date,result,items_failed,followup_required
K251EE6A0AD,新北市立萬里幼兒園,112,2023-10-04,基礎評鑑－全數指標通過,0,0
K96322E6030,新北市萬里區萬里國民小學附設幼兒園,112,2023-10-04,基礎評鑑－全數指標通過,0,0
K981605D417,新北市萬里區大鵬國民小學附設幼兒園,112,2023-10-12,基礎評鑑－全數指標通過,0,0
KAA88BE61B3,新北市萬里區野柳國民小學附設幼兒園,112,2023-10-12,基礎評鑑－全數指標通過,0,0
K14C78FA8D9,新北市萬里區大坪國民小學附設幼兒園,112,2023-10-12,基礎評鑑－全數指標通過,0,0
K57BEDBE6A7,新北市私立大鵬幼兒園,112,2023-10-12,基礎評鑑－全數指標通過,0,0
KEF65809F4C,新北市私立天心幼兒園,112,2023-10-12,基礎評鑑－部分指標通過,1,1
KEF65809F4C,新北市私立天心幼兒園,112,2024-05-14,追蹤評鑑－全數指標通過,0,1
K41A64883A1,新北市金山區三和國民小學附設幼兒園,112,2023-10-03,基礎評鑑－全數指標通過,0,0
KB8F87C8C00,新北市金山區中角國民小學附設幼兒園,112,2023-10-03,基礎評鑑－全數指標通過,0,0
KCA518E2BC5,新北市金山區金美國民小學附設幼兒園,112,2023-10-18,基礎評鑑－全數指標通過,0,0
K91DFA75BDD,新北市金山區金山國民小學附設幼兒園,112,2023-10-18,基礎評鑑－全數指標通過,0,0
K11673D0714,財團法人天主教聖母聖心會附設新北市私立天仁幼兒園,112,2023-10-12,基礎評鑑－全數指標通過,0,0
K9D3314DC96,新北市板橋區莒光國民小學附設幼兒園,111,2022-11-04,基礎評鑑－全數指標通過,0,0
K7BA087382E,新北市板橋區後埔國民小學附設幼兒園,111,2022-09-29,基礎評鑑－全數指標通過,0,0
K421A87AD6B,新北市立忠孝國民中學附設幼兒園,111,2022-10-05,基礎評鑑－全數指標通過,0,0
K4E84EC3CF2,新北市板橋區溪洲國民小學附設幼兒園,111,2022-10-14,基礎評鑑－全數指標通過,0,0
K96492F8FC3,新北市立江翠國民中學附設幼兒園,111,2022-11-10,基礎評鑑－全數指標通過,0,0
KBFEEFCC33E,新北市板橋區板橋國民小學附設幼兒園,111,2022-10-26,基礎評鑑－全數指標通過,0,0
K9CF3AB3ACE,新北市板橋區江翠國民小學附設幼兒園,111,2022-09-29,基礎評鑑－全數指標通過,0,0
K8B449DBA33,新北市板橋區大觀國民小學附設幼兒園,111,2022-10-21,基礎評鑑－全數指標通過,0,0
K6C5D2C7F2B,新北市板橋區中山國民小學附設幼兒園,111,2022-10-07,基礎評鑑－部分指標通過,1,1
K6C5D2C7F2B,新北市板橋區中山國民小學附設幼兒園,111,2023-11-20,追蹤評鑑－全數指標通過,0,1
KCF9A1231D9,新北市板橋區重慶國民小學附設幼兒園,111,2022-10-21,基礎評鑑－全數指標通過,0,0
KE71BAFE638,新北市板橋區文德國民小學附設幼兒園,111,2022-09-30,基礎評鑑－全數指標通過,0,0
