inst_id,name,city,district,org_type,inst_kind,address,phone,website,approved_capacity,enrolled,staff_count,teacher_count,status,child_service,data_sources
KA17D8F5F9A,新北市北大非營利幼兒園,新北市,,非營利,獨立幼兒園,,,,162,137,23,17,,,僅決算報告
K9A79920811,新北市大觀非營利幼兒園,新北市,,非營利,獨立幼兒園,,,,100,99,13,10,,,僅決算報告
K67BABA0726,新北市新店及人非營利幼兒園,新北市,,非營利,獨立幼兒園,,,,104,60,11,8,,,僅決算報告
KF31C21F4B0,新北市新林非營利幼兒園,新北市,,非營利,獨立幼兒園,,,,128,128,16,11,,,僅決算報告
K80E1F29C88,國家教育研究院員工子女非營利幼兒園(委託財團法人彭婉如文教基金會辦理),新北市,三峽區,非營利,獨立幼兒園,三樹路2號1樓,(02)26725016,,75,,,,,無,官方主檔
KB40FD95D40,新北市三峽區三峽國民小學附設幼兒園,新北市,三峽區,公立,國小附設幼兒園,中山路16號,(02)26711018#850,http://tw.class.uschoolnet.com/class/?csid=css000000090390,180,,,,,無,官方主檔
KB477FF3958,新北市三峽區五寮國民小學附設幼兒園,新北市,三峽區,公立,國小附設幼兒園,69號,(02)26720298#30,https://www.facebook.com/pages/%E6%96%B0%E5%8C%97%E5%B8%82%E4%B8%89%E5%B3%BD%E4%BA%94%E5%AF%AE%E9%99,30,,,,,無,官方主檔
KEAF2518E0E,新北市三峽區介壽國民小學附設幼兒園,新北市,三峽區,公立,國小附設幼兒園,大同路1號,(02)26712392#60,https://sites.google.com/view/jses-preschool/%E6%9C%80%E6%96%B0%E6%B6%88%E6%81%AF,212,,,,,無,官方主檔
K02E758DC60,新北市三峽區大埔國民小學附設幼兒園,新北市,三峽區,公立,國小附設幼兒園,大埔路130號,(02)26712523#140,https://www.facebook.com/profile.php?id=100057304786132,60,,,,,無,官方主檔
K4F722709C9,新北市三峽區建安國民小學附設幼兒園,新北市,三峽區,公立,國小附設幼兒園,建安路67號,(02)26726783#105,http://sheepclass.blogspot.com/,30,,,,,無,官方主檔
