post_id,inst_id,name,source,post_date,content,engagement,url
P000001,KF19E0F124F,新北市私立小博士幼兒園,新聞：中央社 CNA,2025-11-01,114年全國中小學客家藝文競賽中、南區初賽成績揭曉 - 中央社 CNA。114年全國中小學客家藝文競賽中、南區初賽成績揭曉 中央社 CNA,,https://news.google.com/rss/articles/CBMiVkFVX3lxTE1YYTgtNWwwNmdfbVNfYUI3a1h5alAwdHhNSE5MN3pqdFI0UFFTZXFmcHhYTFJGc1JvbFJSYmZuNHJLOEFlTnYzejgzam43X1JySnJNRkhn?oc=5
P000002,KF19E0F124F,新北市私立小博士幼兒園,新聞：元丰傳媒,2025-07-31,買明信片寫上祝福再寄給爸比 新竹郵局完成小博士幼兒園小小心願 - 元丰傳媒。買明信片寫上祝福再寄給爸比 新竹郵局完成小博士幼兒園小小心願 元丰傳媒,,https://news.google.com/rss/articles/CBMifkFVX3lxTE43VU0tYWduLURCazhIZUxUOENFN0V1ajRZQjZkYmRrdnI0WldwMW1kREtsYTQzaXVqanJGcEhGc3RBOXYyNWYwR2ZXU0dObWxrd3pXMHQ3aE1DVHM3U0VRVk1keGFMQ3pLd3R1WUJjRE1oeHV3VmdsVG41MllvUQ?oc=5
P000003,KF19E0F124F,新北市私立小博士幼兒園,新聞：台灣民眾電子報,2026-02-05,屏東郵局參與內埔鄉小博士幼兒園新春園遊會 金融防詐宣導與集郵行銷活動 - 台灣民眾電子報。屏東郵局參與內埔鄉小博士幼兒園新春園遊會 金融防詐宣導與集郵行銷活動 台灣民眾電子報,,https://news.google.com/rss/articles/CBMiQ0FVX3lxTE8zTGhPUnZGVTFhV2E1RXltU3ZMa1ZQaks0LXJWUXEtN01mSGhUUTc0WTR2ekpwQkhMZGJFd3hiMEN1Mjg?oc=5
P000004,KF19E0F124F,新北市私立小博士幼兒園,新聞：風傳媒,2018-09-11,小博士幼兒園參訪太平派出所 幼童秀舞蹈逗樂警花 | 台灣好新聞報 | 地方新聞 - 風傳媒。小博士幼兒園參訪太平派出所 幼童秀舞蹈逗樂警花 | 台灣好新聞報 | 地方新聞 風傳媒,,https://news.google.com/rss/articles/CBMiS0FVX3lxTE1fS1VROHVzMGdhOVJYSEptb3dibFNuSEYyT0pYSGpHUF92d3UtZzZTdDBPZUwzVWw3djRLNHAxZDljaC1JMXRmdmtsOA?oc=5
P000005,KF19E0F124F,新北市私立小博士幼兒園,新聞：台灣好新聞,2016-06-14,小博士幼兒園參訪太平派出所 幼童秀舞蹈逗樂警花 - 台灣好新聞。小博士幼兒園參訪太平派出所 幼童秀舞蹈逗樂警花 台灣好新聞,,https://news.google.com/rss/articles/CBMiS0FVX3lxTE1LWmFMRU9DR0pCZHpKZ2ZPZVFsa2QtOXhvWkVGQVUyUWt2VTI3UFV3WXBjTExwV2pBaU5adXU0ZWlkZUpUQ1V2Ny1VRQ?oc=5
P000006,KF19E0F124F,新北市私立小博士幼兒園,新聞：報新聞,2023-03-15,小叮噹關懷老人邀免費暢玩樂園 華山新豐站16週年慶三失長者戲雪感受童趣 - 報新聞。小叮噹關懷老人邀免費暢玩樂園 華山新豐站16週年慶三失長者戲雪感受童趣 報新聞,,https://news.google.com/rss/articles/CBMi6gJBVV95cUxORDB4eG1vQVZZcnh2WUtoV0VtMHlTN0xja0pRWkZZWmprYzd5SUxNNWN6WDRWLUNPSDJNYXIxQjVOQ0lNLVdCWXFTWXY4V3RXVFlJbkw5SlVxc1ZwZlFLbUhKZmc4bFVoSUpzUzFqTHA1M0ozdDNua3VyZWJzYnJUSnpKb1paR1hWZFpRNXNyMEgxTS0tcU90VkNpZXVwUXRYTDB6UmotY2hiZldpVlhRV2p0SlpMUElNVWFzVUhxTVhKaGkwdkJOZ3MzNUdlQVZ3SElRTVFSaGVoNkFrcmhKaWUtX0VYLTV1QTAyWDBYYjRHQkJ6VnA4dTEtQnFERnRFaS1NdGJhRzhvU25SYkJaRjFFWEtsaEROMXZKOVVpUDhLaFRyUjVKazFwVEhaRUdEM2RQX2o1ejdPQ0tpNVBrdjE2cFdrd0Z0a0MtM0xPNXE5cDlsbGNmbXFmYk1vRE44cTNMWngzaUZnQQ?oc=5
P000007,KF19E0F124F,新北市私立小博士幼兒園,新聞：中時新聞網,2017-05-12,警局變樂園 BABY BOSS瘋這個 - 中時新聞網。警局變樂園 BABY BOSS瘋這個 中時新聞網,,https://news.google.com/rss/articles/CBMibkFVX3lxTE5vMDE2bzZWczJzNG5HRmZzbmEzQjE2SnJzUkRlVWhKbDJtVG05QzJkdXJDeVN0TW9VY203dGN5aFo2cVJTdWtWVVc3bERpVnFiSW9Xekgxa2piQmF6eEVBZUNzdEdIMXFpS0pxajNn?oc=5
P000008,KF19E0F124F,新北市私立小博士幼兒園,新聞：自由時報,2016-06-13,純真的祝福…幼童卡片蛋糕慰問中彈警員 - 自由時報。純真的祝福…幼童卡片蛋糕慰問中彈警員 自由時報,,https://news.google.com/rss/articles/CBMiaEFVX3lxTE81eWlPa1RnUm94VzZ2S3dZdE9SS1RybEdBcm82cUR4MmJjb291eFFqYzM0ZmIzQ2lndkFMb19pVGJxLVRkVUdEY0w1T3Q5Z3B0ZlJjcDJMbkdTWXZ6OVphdVJibmprODEx0gFuQVVfeXFMT1RaLTZlZHE3dm5NdUNJQUJYeFVNemNNeFE1SVFrTHYtQldJdTUyOExNZjVoVjBXTmVZNjhzM055N2duYU55NEprc0Q4aXBKZ3NNMzJ3N0xjclpNZjF5RFlHLWN2MzctZlU4amh2LXc?oc=5
P000009,KF19E0F124F,新北市私立小博士幼兒園,新聞：台灣好新聞,2017-05-12,幼童著迷你版警服體驗警察工作 萌翻全場 - 台灣好新聞。幼童著迷你版警服體驗警察工作 萌翻全場 台灣好新聞,,https://news.google.com/rss/articles/CBMiS0FVX3lxTE5haVVDMDhObF9hOTVsakJUM0Rzam4ybWgzSzdmcTRjT3JyRDRTdkduUnpJd1doRE4tcFA2WjA2SkVaVkU0YmlFbS0tWQ?oc=5
P000010,KF025D04584,新北市私立巨星幼兒園,新聞：客新聞 HakkaNews,2024-07-11,「幼幼講客列車」開往新北 參與人數全國第一高 - 客新聞 HakkaNews。「幼幼講客列車」開往新北 參與人數全國第一高 客新聞 HakkaNews,,https://news.google.com/rss/articles/CBMiUEFVX3lxTE5Gbnh6RENrdUR6OGs1QXo0bVJpa0VYYTZXUG5UNGY3aVdUeWxhcWNFV0lEOW56QXRtdmZhd0EtYWtkTEhvSGlraWFXbWpXV1Bi?oc=5
